Drug_Name,Indication
Phosphoric acid,"Phosphoric acid is used in dentistry and orthodontics as an etching solution, to clean and roughen the surfaces of teeth where dental appliances or fillings will be placed."
Phylloquinone,"Oral phylloquinone is indicated to treat prothrombin deficiency caused by coumarin or indanedione derivatives; and hypoprothrombinemia secondary to antibacterial therapy, salicylates, or obstructive jaundice or biliary fistulas with concomitant bile salt administration.[L33345] Parenteral (intravenous, intramuscular, and subcutaneous) phylloquinone is indicated to treat coagulation disorders due to faulty formation of coagulation factors II, VII, IX, and X caused by vitamin K deficiency or some interference with vitamin K activity.[L33319] These indications include the above indications as well as hypoprothrombinemia secondary to sprue, ulcerative colitis, celiac disease, intestinal resection, pancreatic cystic fibrosis, or regional enteritis; or hypoprothrombinemia caused by interference with vitamin k metabolism.[L33319]"
Physostigmine,"For the treatment of glaucoma, and in the treatment of severe anticholinergic toxicity."
Pibrentasvir,"Indicated for the treatment of adult patients with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5 or 6 infection without cirrhosis or with compensated cirrhosis (Child-Pugh A). MAVYRET is also indicated for the treatment of adult patients with HCV genotype 1 infection, who previously have been treated with a regimen containing an HCV NS5A inhibitor or an NS3/4A protease inhibitor (PI), but not both [FDA Label]."
Picosulfuric acid,"Sodium picosulfate, in combination with magnesium oxide and anhydrous citric acid, is indicated for cleansing of the colon as a preparation for colonoscopy in adults and pediatric patients ages 9 years and older.[L43832]"
Pidolic acid,"There is currently no clinically approved and/or marketed medicine that relies upon pidolic acid as an active ingredient for any formal therapeutic indication. Although pidolic acid may be sold in a variety of non-prescription, over-the-counter dietary supplement products for cognitive or memory enhancement, there are many studies that suggest that such products or such supplementation do not elicit any kind of cognitive benefit to users [A32981, A32982]. In fact, the general suggestion for any such pidolic acid product is to exercise caution in their recommendation as much more research is necessary [A32981]. Pidolic acid and sodium pidolic acid are, however, used to some extent in skin and hair conditioning agents owing to their humectant characteristics [F53]."
Piflufolastat F 18,Piflufolastat F18 is indicated for positron emission tomography (PET) of prostate-specific membrane antigen (PSMA) positive lesions in men with prostate cancer who have suspected metastases and are candidates for initial definitive therapy and for men with a suspected recurrence of prostate cancer based on elevated prostate-specific antigen (PSA) levels by the FDA.[L34294] It is approved by the EMA for the primary staging of patients with high-risk prostate cancer prior to initial curative therapy and for localizing recurrence of prostate cancer in patients with a suspected recurrence based on increasing serum prostate-specific antigen (PSA) levels after primary treatment with curative intent.[L47581]
Pilocarpine,"Pilocarpine oral tablets are indicated for the treatment of dry mouth caused by Sjogren's Syndrome or radiotherapy for cancer of the head and neck.[L48566] Pilocarpine ophthalmic formulations are used to treat presbyopia in adults,[L48556, L48631] reduce elevated intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension, manage acute angle-closure glaucoma, prevent postoperative elevated IOP associated with laser surgery, and induce miosis.[L48561]"
Pimavanserin,Pimavanserin is indicated for the treatment of hallucinations and delusions associated with Parkinson’s disease psychosis.[L32883]
Pimecrolimus,For treatment of mild to moderate atopic dermatitis.
Pimozide,Used for the suppression of motor and phonic tics in patients with Tourette's Disorder who have failed to respond satisfactorily to standard treatment.
Pinaverium,Pinaverium is indicated for the symptomatic treatment of irritable bowel syndrome (IBS) and functional disorders of the biliary tract.
Pindolol,"Pindolol is indicated in the management of hypertension.[L32353] In Canada, it is also indicated in the prophylaxis of angina.[L32388]"
Pioglitazone,"Pioglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.[L11416] It is also available in combination with [metformin],[L11419] [glimepiride],[L11422] or [alogliptin][L11425] for the same indication."
Pipecuronium,Used as a muscle relaxant during anesthesia and surgical procedures.
Piperacillin,For the treatment of polymicrobial infections.
Piperaquine,"For the treatment of uncomplicated *Plasmodium falciparum* infection in adults, children, and infants aged 6 months and up weighing over 5 kg [FDA Label]. Used in combination with [DB11638]."
Piperazine,"Used as alternative treatment for ascariasis caused by <i>Ascaris lumbricoides</i> (roundworm) and enterobiasis (oxyuriasis) caused by <i>Enterobius vermicularis</i> (pinworm). It is also used to treat partial intestinal obstruction by the common roundworm, a condition primarily occurring in children."
Piperonyl butoxide,"For the treatment of head, pubic (crab), and body lice."
Pipobroman,For the treatment of polycythaemia vera and refractory chronic myeloid leukaemia.
Pipotiazine,For the maintenance treatment of chronic non-agitated schizophrenic patients.
Pipradrol,"Used to manage fatigue [L2522] and depression [L2515], [A32724], [L2518], [L2523]. Used as an adjunct therapy in the management of obesity [L2522]."
Piracetam,"Indicated in adult patients suffering from myoclonus of cortical origin, irrespective of aetiology, and should be used in combination with other anti-myoclonic therapies [L1125]."
Pirbuterol,For the prevention and reversal of bronchospasm in patients 12 years of age and older with reversible bronchospasm including asthma.
Pirenzepine,"For the treatment of peptic ulcer, gastric ulcer, and duodenal ulcer."
Pirfenidone,"Pirfenidone is indicated for the treatment of idiopathic pulmonary fibrosis (IPF).[L26801,L26816,L42555] In Canada and Europe, it is approved in adults only.[L26816,L42555]"
Piroxicam,For treatment of osteoarthritis and rheumatoid arthritis.
Pirtobrutinib,"Pirtobrutinib is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) after at least two lines of systemic therapy, including a BTK inhibitor.[L44863]"
Pitavastatin,"Pitavastatin is indicated for the treatment of adult patients with primary hyperlipidemia or mixed dyslipidemia to reduce elevated total cholesterol (TC), low-density lipoprotein cholesterol (LDL-C), apolipoprotein B (Apo B), triglycerides (TG), and to increase high-density lipoprotein cholesterol (HDL-C). It is also indicated for the treatment of pediatric patients aged 8 years and older with heterozygous familial hypercholesterolemia (HeFH) to reduce elevated TC, LDL-C, and Apo B.[L48616] Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD. Statin-indicated conditions include diabetes mellitus, clinical atherosclerosis (including myocardial infarction, acute coronary syndromes, stable angina, documented coronary artery disease, stroke, trans ischemic attack (TIA), documented carotid disease, peripheral artery disease, and claudication), abdominal aortic aneurysm, chronic kidney disease, and severely elevated LDL-C levels.[A181087, A181406]"
Pitolisant,"Pitolisant is indicated for the treatment of excessive daytime sleepiness (EDS) or cataplexy in patients six years of age and older with narcolepsy.[L50006, L50943]"
Pivampicillin,"or the treatment of respiratory tract infections (including acute bronchitis, acute exacerbations of chronic bronchitis and pneumonia); ear, nose and throat infections; gynecological infections; urinary tract infections (including acute uncomplicated gonococcal urethritis) when caused by non penicillinase-producing susceptible strains of the following organisms: gram-positive organisms, e.g., streptococci, pneumococci and staphylococci; gram-negative organisms, e.g., H. influenzae, N. gonorrhoeae, E. coli, P. mirabilis."
Pivmecillinam,"Used to treat infections due to mecillinam-sensitive organisms such as urinary tract infections, salmonellosis and typhoid fever."
Pixantrone,"Currently in Phase III investigation for treatment of relapsed or refractory aggressive non-Hodgkin's lymphoma in patients who have failed two prior lines of therapy. Presently, no standard therapy exists for patients with relapsed or refractory NHL. [2] After first line therapy has been initiated, most patients have received their lifetime limit of doxorubicin and further use of anthracyclines may potentially lead to anthracycline-induced congestive heart failure (CHF). Pixantrone is an attractive alternative as a second line agent, due to its lack of cardiac toxicity. [2] The phase III trial, PIX-R, is ongoing and will compare pixantrone multidrug therapy with an equivalent regimen in patients with diffuse large B-cell lymphoma (the most common type of NHL). Previous study results have also suggested the possibility that pixantrone may be safe and effective in doxorubicin naive patients. In myocardial strips which are doxorubicin naive, pixantrone is taken up to a higher degree than in myocardial strips which are doxorubicin exposed, and once absorbed exhibits redox inactivity. [3] Pixantrone dimaleate has also been investigated as a treatment for acute myelogenous leukemia, diffuse large B-cell lymphoma, follicular lymphoma, metastatic breast cancer, low grade small lymphocytic lymphomas and general metastatic cancers."
Pizotifen,Indicated for the prophylactic management of migraines [L2292].
"Plant-based virus-like particles, recombinant, adjuvanted COVID-19 vaccine",The Covifenz COVID-19 vaccine is indicated for active immunization to prevent COVID-19 caused by SARS-CoV-2 in patients 18 years of age and older.[L47805]
Plantago seed,"Indications include the treatment of patients needing a high fibre regime, perhaps for: (a) the relief of constipation, including constipation in pregnancy and the maintenance of regularity; (b) the management of bowel function in patients with colostomy, ileostomy, hemorrhoids, anal fissure, chronic diarrhea with diverticular disease, irritable bowel syndrome, and ulcerative colitis [L1865]."
Plasma protein fraction (human),"PPFh is used as a replacement therapy in patients with complex deficiencies of coagulation factors such as coagulopathy. It is also used as a substitution therapy in emergency cases of factor deficiencies, for rapid reversal of the effects of oral anticoagulants or in dangerous hemorrhages during fibrinolytic therapy. PPFh can be used in therapeutic plasma exchange procedures including thrombotic thrombocytopenic purpura.[L2264] PPFh can be used in the treatment of shock where there is a predominant loss of plasma fluids and not red blood cells.[L2261]"
Plasminogen,"Plasma-derived human plasminogen, marketed under the brand name Ryplazim, is indicated for the treatment of patients with plasminogen deficiency type 1 (hypoplasminogenemia).[L34620]"
Plazomicin,"Plazomicin is indicated for the treatment of patients 18 years of age or older with Complicated Urinary Tract Infections (cUTI) including Pyelonephritis, who have limited or no alternative treatment options. It should only be used to treat infections that are proven or strongly suspected to be caused by susceptible microorganisms [FDA Label]."
Plecanatide,Plecanatide is indicated for the treatment of chronic idiopathic constipation (CIC) and irritable bowel syndrome with constipation (IBS-C) in adult patients.[L35044]
Plerixafor,Plerixafor is indicated in combination with granulocyte-colony stimulating factor (G-CSF) to mobilize hematopoietic stem cells (HSCs) to the peripheral blood for collection and subsequent autologous transplantation in patients with non-Hodgkin’s lymphoma or multiple myeloma.[L45678]
Plicamycin,"For the treatment of testicular cancer, as well as hypercalcemia and hypercalciuria associated with a variety of advanced forms of cancer."
Poa pratensis pollen,Poa pratensis pollen is an allergen extract included in an allergenic testing product called ORALAIR. It is indicated as immunotherapy for the treatment of grass pollen-induced allergic rhinitis with or without conjunctivitis confirmed by positive skin test or in vitro testing for pollen38 specific IgE antibodies for any of the five grass species contained in this product. ORALAIR is approved for use in persons 5 through 65 years of age.[L41190]
Podofilox,For treatment of external genital warts (<i>Condyloma acuminatum</i>).
Podophyllin,25% podophyllin (in benzoin tincture) is indicated for the removal of soft genital (venereal) warts (condylomata acuminata).
Polatuzumab vedotin,"Polatuzumab vedotin is used in combination with [bendamustine] and [rituximab] to treat adult patients with relapsed or refractory diffuse large B-cell lymphoma, not otherwise specified, after at least two prior therapies.[L6658] In Canada, this indication is approved for patients who are not eligible for autologous stem cell transplant and have received at least one prior therapy.[L44141] Polatuzumab vedotin is also used in combination with [rituximab], [cyclophosphamide], [doxorubicin], and [prednisone] (R-CHP) to treat adult patients with previously untreated large B-cell lymphoma (LBCL), including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (NOS), high-grade B-cell lymphoma,[L44141, L46013] Epstein-Barr virus-positive (EBV+) DLBCL NOS, and T-cell/histiocyte rich LBCL.[L44141]"
Polidocanol,Polidocanol is a sclerosing agent indicated to treat uncomplicated spider veins and uncomplicated reticular veins in the lower extremity.
Poloxamer 188,Indicated to reduce viscosity in the blood before transfusions.
Polyethylene glycol,"Polyethylene glycol is indicated for use as an over-the-counter osmotic laxative to relieve occasional constipation.[L11812] When used in combination with sodium ascorbate, sodium sulfate, ascorbic acid, sodium chloride and potassium chloride, it is used for cleansing of the colon in preparation for colonoscopy in adults.[L6421]"
Polyethylene glycol 300,"Indicated as a lubricant in over-the-counter ophthalmic solutions to temporarily relieve redness, burning and irritation of the eyes."
Polyethylene glycol 400,"PEG-400 has been indicated for the temporary relief of burning and irritation due to dryness of the eye, andfor protection against further irritation and desiccation [L1795], [L1796], [L1797]."
Polymyxin B,"Polymyxin B is indicated for the treatment of infections of the urinary tract, meninges, and blood stream, caused by susceptible strains of <i>Pseudomonas aeruginosa</i>[FDA Label]."
Polysilicone-15,"Polysilicone-15 is used as an UV-filter in cosmetic sunscreen products as well as in other cosmetic products (like shampoos, conditioners, hairsprays, etc.) where it can confer photostability to the product(s) [L2799, F89]."
Polysorbate 80,"It is used as a solubilizer, antimicrobial preservative and disinfectant [L1853]."
Polythiazide,Polythiazide is a thiazide diuretic used to decrease edema and decrease blood pressure.
Polyvinyl alcohol,For use as a lubricant to prevent further irritation or to relieve dryness of the eye(s) [L2828].
Pomalidomide,Pomalidomide is indicated for patients with multiple myeloma who have received at least two prior therapies including lenalidomide and have demonstrated disease progression on or within 60 days of completion of the last therapy. It is also indicated for the treatment of Kaposi's sarcoma (KS) in AIDS patients who have failed highly active antiretroviral therapy (HAART) and for the treatment of KS in HIV-negative patients.[L40918]
Ponatinib,"Ponatinib is indicated for the treatment of adult patients with chronic phase, accelerated phase, or blast phase chronic myeloid leukemia (CML) that is resistant or intolerant to prior tyrosine kinase inhibitor therapy or Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ALL) that is resistant or intolerant to prior tyrosine kinase inhibitor therapy."
Ponesimod,"Ponesimod is indicated to treat adults with relapsing forms of multiple sclerosis, including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease.[L32709]"
Poractant alfa,Poractant alfa is indicated for the treatment of Respiratory Distress Syndrome (RDS) in premature infants.
Porfimer sodium,Indicated in the treatment of esophageal cancer.
Pork collagen,"indicated for the repair of single or multiple symptomatic, full-thickness cartilage defects of the knee with or without bone involvement in adults."
Posaconazole,"For prophylaxis of invasive <em>Aspergillus</em> and <em>Candida</em> infections in patients, 13 years of age and older, who are at high risk of developing these infections due to being severely immunocompromised as a result of procedures such as hematopoietic stem cell transplant (HSCT) recipients with graft-versus-host disease (GVHD), or due to hematologic malignancies with prolonged neutropenia from chemotherapy. Also for the treatment of oropharyngeal candidiasis, including oropharyngeal candidiasis refractory to itraconazole and/or fluconazole. Posaconazole is used as an alternative treatment for invasive aspergillosis, <em>Fusarium</em> infections, and zygomycosis in patients who are intolerant of, or whose disease is refractory to, other antifungals."
Potassium,"**General uses of potassium** Potassium is indicated to treat a variety of conditions. Firstly, it used to replenish potassium that has been depleted by conditions including but not limited to malabsorption, decreased intake, or excess sodium intake. The causes of potassium deficiency are numerous. The following indications for potassium are not comprehensive, but include the main indications for which this nutrient is used. Various products and preparations contain potassium. **Potassium chloride** Potassium chloride is one of the main preparations of potassium used in a clinical setting. The oral solution is indicated for the prevention and treatment of hypokalemia presenting with or without metabolic alkalosis, in patients who have failed conservative management with potassium-rich foods or diuretic dose titrations.[L8744] The injection form of potassium chloride is indicated to replenish potassium in patients who are not feasible candidates for oral potassium. Highly concentrated potassium is intended for the treatment of potassium deficiency in fluid restricted individuals who cannot tolerate fluid volumes normally associated with injected potassium solutions that contain lower concentrations.[L8768] Finally, the extended-release tablet preparation of potassium chloride is used to treat hypokalemia with or without metabolic alkalosis, to treat digitalis intoxication, and to manage patients with hypokalemic familial periodic paralysis. It is also used in the prevention of hypokalemia in those who are at a high risk of negative clinical outcomes if hypokalemia occurs; patients on digitalis or those with cardiac arrhythmias would be at particular risk of negative outcomes.[L8771] **Potassium chloride with dextrose and sodium chloride** This liquid preparation is is indicated in a clinical setting as a source of water, calories and electrolytes.[L8747] Potassium acetate solution is meant as an alternative to potassium chloride, replenishing potassium and added to large volume infusion fluids for intravenous injection.[L8759] **Potassium citrate** The potassium citrate preparation is used for the management of renal tubular acidosis (RTA) with calcium stones (nephrolithiasis); calcium oxalate stones by any cause, and uric acid nephrolithiasis (with or without calcium stones). This regimen also includes adequate water intake (leading to a urine out put of 2 L/day or more) and sodium restriction.[L8753]"
Potassium Iodide,Potassium Iodide is oral antithyroid agent used in the prevention of radioactive iodine uptake into the thyroid gland during a nuclear radiation emergency. Potassium Iodide may be used as an adjunct to other antithyroid agents in the treatment of hyperthyroidism and thyrotoxicosis and preoperatively to induce thyroid involution.
Potassium acetate,Potassium is used to regulate hypokalemia as a primary condition or secondary to other medical conditions.
Potassium alum,"Potassium alum is considered safe by the FDA and its use is in homepathic or OTC products. Due to its presence in several different drugs, the main indications for the use of potassium alum are: -Constipation[L1071] -Cosmetic or drug astringent, helping the shrinkage of tissues and the dry of secretions[L1072] -Oral health care drug[L1072] -Part of formulation in cleansing products, skin-care products, mosturizers, face powders and deodorants[L1073] -Antiperspirant[L1074] -Antifungal[L1074]"
Potassium bicarbonate,"Potassium bicarbonate is used as an antacid, electrolyte replenisher and potassium supplement. It can also be used as an excipient in drug formulations.[L1837] An antacid is a medication used to neutralize gastric acid in a short timeframe after ingestion and the effect is soon overcome by meal-stimulated acid secretion.[A32214]"
Potassium cation,Potassium is used to regulate hypokalemia as a primary condition or secondary to other medical conditions.
Potassium chloride,For use as an electrolyte replenisher and in the treatment of hypokalemia.
Potassium citrate,"For the management of renal tubular acidosis, hypocitraturic calcium oxalate nephrolithiasis, and uric acid lithiasis with or without calcium stones."
Potassium gluconate,"Because of potassium’s wide-ranging roles in the body, low intakes can increase the risk of illness [L2655]. Potassium supplements are indicated to prevent hypokalemia in patients who would be at particular risk if hypokalemia were to develop (e.g., digitalis treated patients with significant cardiac arrhythmias). Potassium deficiency occurs when the rate of loss through renal excretion and/or loss from the gastrointestinal tract is higher than the rate of potassium intake. In addition to serving as a preventative supplement, potassium gluconate also serves as a treatment for decreased potassium levels [L2655], [L2651], [L2657]."
Potassium hydroxide,"Medically, the microscopic examination of potassium hydroxide (KOH) preparations is utilized in the diagnosis of fungal hyphae or trichomonads [L1950]. Samples from hair, skin, or nail tissue are obtained by scraping with a scalpel, cotton-tipped applicator and are inoculated directly onto the KOH solution [L1950]. In addition to the above, potassium hydroxide is used as a softener for nail grooves [L1949]."
Potassium nitrate,"For the relief of tooth sensitivity, and is also used as a pesticide, insecticide, as a food additive, and a rodenticide [L1751, L1754, L1757]."
Potassium perchlorate,No current FDA- or EMA-approved therapeutic indications.
Potassium sulfate,Potassium is used to regulate hypokalemia as a primary condition or secondary to other medical conditions.
Povidone,"When in complex with iodine, indicated for inducing antisepsis for prevention of infection in minor cuts, scrapes, and burns."
Povidone K30,"When in complex with iodine, indicated for inducing antisepsis for prevention of infection in minor cuts, scrapes, and burns."
Povidone-iodine,For topical application in the treatment and prevention of infection in wounds.
Pozelimab,"Pozelimab is indicated for the treatment of adult and pediatric patients 1 year of age and older with CD55-deficient protein-losing enteropathy (PLE), also known as CHAPLE disease.[L47850]"
Practolol,Used in the emergency treatment of cardiac arrhythmias.
Pralatrexate,Pralatrexate is indicated for the treatment of relapsed or refractory peripheral T-cell lymphoma.[L37674]
Pralidoxime,For the treatment of poisoning due to those pesticides and chemicals of the organophosphate class which have anticholinesterase activity and in the control of overdosage by anticholinesterase drugs used in the treatment of myasthenia gravis.
Pralsetinib,"Pralsetinib is indicated for the treatment of metastatic non-small cell lung cancer (NSCLC) in adult patients who are confirmed to possess a rearranged during transfection (RET) gene fusion, as determined by an FDA approved test.[L15986] It is also indicated in adult and pediatric patients 12 years of age and older for the treatment of advanced or metastatic _RET_ fusion-positive thyroid cancer who require systemic therapy and for whom radioactive iodine is not appropriate.[L47905] The indication for advanced or metastatic _RET_ fusion-positive thyroid cancer was approved under accelerated approval based on the overall response rate and duration of response, and continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.[L47905]"
Pramipexole,This drug is indicated for the symptomatic treatment of Parkinson’s disease [FDA label]. This drug can be administered as monotherapy or in conjunction with levodopa. It is also indicated for symptomatic treatment of moderate to severe primary Restless Legs Syndrome (RLS) [FDA label].
Pramlintide,For the treatment of type 1 and type 2 diabetes mellitus as an adjunct to preprandial insulin therapy in patients without adequate glycemic control of insulin therapy.
Pramocaine,"It is indicated for temporary relief of pain and pruritus from minor lip and skin irritations as well as for temporary relief from pain, burning, itching and discomfort associated with hemorrhoids and other anorectal/anogenital disorders."
Prasterone,"DHEA is taken as a supplement for a variety of unsubstantiated indications. The following indications have shown promise and are backed up by some scientific evidence: schizophrenia (DHEA may be more effective in women than men); improving the appearance of older people’s skin (taking DHEA by mouth seems to increase skin thickness and moisture, and decrease facial “age spots” in elderly men and women); improving ability to achieve an erection in men with sexual dysfunction. Additionally, DHEA has shown promise in improving symptoms of lupus (SLE). Taking DHEA by mouth along with conventional treatment may help reduce the number of times symptoms flare up and may allow a reduction in the dose of prescription drugs needed. DHEA may also help SLE symptoms such as muscle ache and mouth ulcers. DHEA also seems to strengthen bones in SLE patients being treated with high-dose steroids (corticosteroids). DHEA also shows promise in the treatment of osteoporosis. Taking DHEA by mouth daily seems to improve bone mineral density (BMD) in older women and men with osteoporosis or osteopenia (pre-osteoporosis). DHEA may also increase BMD in young women with the eating disorder called anorexia nervosa. DHEA is often prescribed in India for the induction of ovulation to improve chances of pregnancy."
Prasugrel,"Indicated in combination with acetylsalicylic acid (ASA) to prevent atherothrombotic events in patients with acute coronary syndrome (ACS) who are to be managed with percutaneous coronary intervention (PCI). May be used in patients with unstable angina (UA), non-ST elevation myocardial infarction (NSTEMI), ST-elevation myocardial infarction (STEMI) who are to be managed with PCI. Prasugrel is not recommended in patients 75 years of age or greater, those that weigh<60kg, and patients with a history of stroke or transient ischemic attack due to increased risk of fatal and intracranial bleeding."
Pravastatin,"Pravastatin is indicated for primary prevention of coronary events hypercholesterolemic patients without clinical evidence of coronary heart disease. Its use includes the reduction of risk on myocardial infarction, undergoing myocardial revascularization procedures and cardiovascular mortality.[T274] As well, pravastatin can be used as a secondary prevention agent for cardiovascular events in patients with clinically evident coronary heart disease. This indication includes the reduction of risk of total mortality by reducing coronary death, myocardial infarction, undergoing myocardial revascularization procedures, stroke, and stroke/transient ischemic attack as well as to slow the progression of coronary atherosclerosis.[T274] The term cardiovascular events correspond to all the incidents that can produce damage to the heart muscle including the interruption of blood flow.[L6028] As adjunctive therapy to diet, pravastatin is used in: - Patients with primary hypercholesterolemia and mixed dyslipidemias including hyperlipidemia type IIa and IIb. - Patients with elevated serum triglycerides including type IV hyperlipidemia. - Patients with heterozygous familial hypercholesterolemia in patients over 8 years of age with low-density lipoprotein (LDL) cholesterol higher than 190 mg/dl after diet modifications or LDL levels higher than 160 mg/dl and familial history of premature cardiovascular diseases or at least two cardiovascular risk factors.[T274] In patients that do not respond adequately to diet, pravastatin is used to treat patients with primary dysbetalipoproteinemia (type III hyperlipidemia).[T274] Dyslipidemia is defined as an elevation of plasma cholesterol, triglycerides or both as well as to the presence of low levels of high-density lipoprotein. This condition represents an increased risk for the development of atherosclerosis.[L6025]"
Prazepam,For the treatment of anxiety disorders.
Praziquantel,"Praziquantel is indicated in patients aged 1 year and older for the treatment of the schistosomiasis due to all species of Schistosoma (for example, Schistosoma mekongi, Schistosoma japonicum, Schistosoma mansoni and Schistosoma hematobium) and clonorchiasis and opisthorchiasis due to the liver flukes, Clonorchis sinensis/Opisthorchis viverrini (approval of this indication was based on studies in which the two species were not differentiated).[L50021]"
Prazosin,"This drug is indicated for the treatment of hypertension (high blood pressure). Prazosin can be given alone or given with other blood pressure-lowering drugs, including diuretics or beta-adrenergic blocking agents [FDA label]. Prazosin does not negatively impact lung function, and therefore may be used to manage hypertension in patients who are asthmatic or patients with chronic obstructive lung disease (COPD)[A176630]."
Prednicarbate,For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
Prednisolone,"Prednisolone is indicated to treat endocrine, rheumatic, and hematologic disorders; collagen, dermatologic, ophthalmic, respiratory, and gastrointestinal diseases; allergic and edematous states; and other conditions like tuberculous meningitis.[L9542]"
Prednisolone acetate,"Prednisolone acetate is indicated as an anti-inflammatory or immunosuppressive agent for allergic, dermatologic, gastrointestinal, hematologic, ophthalmologic, nervous system, renal, respiratory, rheumatologic, or infectious conditions.[L9449] Prednisolone acetate is also indicated in organ transplant patients, as well as endocrine or neoplastic conditions.[L9449]"
Prednisolone phosphate,"Prednisolone phosphate is indication to a number of conditions including treat allergic states, dermatologic diseases, edematous states, endocrine disorders, gastrointestinal diseases, hematologic disorders, neoplastic diseases, nervous system, ophthalmic diseases, respiratory diseases, rheumatic disorders.[L9437,L9440]"
Prednisone,"Prednisone is indicated as an anti-inflammatory or immunosuppressive drug for allergic, dermatologic, gastrointestinal, hematologic, ophthalmologic, nervous system, renal, respiratory, rheumatologic, infectious, endocrine, or neoplastic conditions as well as in organ transplant.[L10502]"
Pregabalin,"Pregabalin is indicated for the management of neuropathic pain associated with diabetic peripheral neuropathy, postherpetic neuralgia, fibromyalgia, neuropathic pain associated with spinal cord injury, and as adjunctive therapy for the treatment of partial-onset seizures in patients 1 month of age and older.[L7066]"
Pretomanid,"Pretomanid is indicated, as part of a combination regimen with bedaquiline and linezolid, for the treatment of adults with pulmonary tuberculosis (TB) that is resistant to isoniazid, rifamycins, a fluoroquinolone and a second-line injectable antibacterial drug or adults with pulmonary TB resistant to isoniazid and rifampin, who are treatment-intolerant or non-responsive to standard therapy.[L44707]"
Prilocaine,Used as a local anaesthetic and is often used in dentistry.
Primaquine,For the treatment of malaria.
Primidone,"Primidone is commonly indicated for the management of grand mal, psychomotor, and focal epileptic seizures.[L4645,L11112] In addition, it has also been studied and utilized as an effective management of essential tremor.[A39414,A39415,L4645]"
Probenecid,For the reduction of serum uric acid concentrations in chronic gouty arthritis and tophaceous gout in patients with frequent disabling gout attacks. Has also been effectively used to promote uric acid excretion in hyperuricemia secondary to the administration of thiazide and related diuretics.
Probucol,Used to lower LDL and HDL cholesterol.
Procainamide,For the treatment of life-threatening ventricular arrhythmias.
Procaine,Used as a local anesthetic primarily in oral surgery
Procaine benzylpenicillin,"For the treatment of a number of bacterial infections such as syphilis, anthrax, mouth infections, pneumonia and diphtheria."
Procarbazine,For use with other anticancer drugs for the treatment of stage III and stage IV Hodgkin's disease.
Procaterol,For the treatment of asthma and chronic obstructive pulmonary disease (COPD).
Prochlorperazine,"Indicated for the symptomatic treatment of severe nausea and vomiting.[label] Indicated for the management of manifestations of psychotic disorders, such as schizophrenia and generalized non-psychotic anxiety. The use of prochlorperazine for the management of generalized non-psychotic anxiety is typically not a first-line therapy and should be limited to doses of less than 20 mg per day or for shorter than 12 weeks.[label,L6634] Off-label uses include use in emergency settings for adult and pediatric migraines. The American Headache Society recommends the use of prochlorperazine as the first-line medication in this setting. In pediatric migraines, a non-steroidal anti-inflammatory agent is often used in combination with dopamine antagonist.[L6637]"
Procyclidine,"For the treatment of all forms of Parkinson's Disease, as well as control of extrapyramidal reactions induced by antipsychotic agents."
Profenamine,"Profenamine is indicated in the symptomatic treatment of drug-induced extrapyramidal reactions and of the manifestations (rigidity, akinesia, sialorrhea, oculogyric crisis, tremor, etc.) of Parkinson's disease of encephalitic, arteriosclerotic or idiopathic origin.[L46812] It is also used to control severe reactions to certain medicines such as reserpine."
Proflavine,Topical antiseptic used mainly in wound dressings.
Progesterone,"**Gelatinized capsules** The gelatinized capsules are indicated for use in the prevention of endometrial hyperplasia in non-hysterectomized postmenopausal women who are receiving conjugated estrogens tablets. They are also indicated for use in secondary amenorrhea [FDA label]. **Vaginal gel** Progesterone gel (8%) is indicated as progesterone supplementation or replacement as part of an Assisted Reproductive Technology (“ART”) treatment for infertile women with progesterone deficiency. The lower concentration progesterone gel (4%) is used in the treatment of secondary amenorrhea, with the use of the 8% concentration if there is no therapeutic response to the 4% gel [F3898]. **Vaginal insert** This form is indicated to support embryo implantation and early pregnancy by supplementation of corpus luteal function as part of an Assisted Reproductive Technology (ART) treatment program for infertile women [F3901]. **Injection (intramuscular)** This drug is indicated in amenorrhea and abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology, such as submucous fibroids or uterine cancer [F3907]. **Tablets, contraceptive** The tablet form of progesterone in contraceptive formulations is indicated for the prevention of pregnancy [F3904]."
Proguanil,For the causal prevention and suppression of malaria caused by susceptible strains of <i>P. falciparum</i> and other species of Plasmodium found in some geographical areas of the world.
Promazine,Used as an adjunct for short term treatment of moderate and severe psychomotor agitation. Also used to treat agitation or restlessness in the elderly.
